turn_id,start,end,duration,text,n_segments,n_words,segment_ids
63,253.7,254.94,1.240000000000009,So... It's exactly English league.,2,5,"[np.int64(123), np.int64(124)]"
64,256.7,262.66,5.960000000000036,"Do they have, like... Does it only happen in England? Is there, like, an American league? But Americans don't really play.",4,21,"[np.int64(127), np.int64(128), np.int64(129), np.int64(130)]"
65,262.88,264.6,1.7200000000000273,"It's all for like that. Yeah, it is. There's a bunch of other leagues.",3,14,"[np.int64(131), np.int64(132), np.int64(133)]"
66,264.84,270.58,5.740000000000009,"There's, like, the most popular leagues is, like, the... What is the Spanish league?",2,14,"[np.int64(134), np.int64(135)]"
67,271.44,272.72,1.2800000000000296,It has... Right.,2,3,"[np.int64(136), np.int64(137)]"
68,273.04,273.96,0.9199999999999591,Right. The French league.,2,4,"[np.int64(138), np.int64(139)]"
69,276.24,279.32,3.079999999999984,The Spanish league. It doesn't have the main leagues.,2,9,"[np.int64(141), np.int64(142)]"
70,280.2,283.28,3.079999999999984,"You feel like in the top of those leagues, it gets like, played trouble.",1,14,[np.int64(144)]
71,283.56,285.12,1.5600000000000023,"Yeah, so that's the premier league.",1,6,[np.int64(145)]
72,286.2,290.8,4.600000000000023,"Like, like, when the top center plays, you're the top champions league.",1,12,[np.int64(147)]
73,291.36,292.1,0.7400000000000091,"Okay, yeah.",1,2,[np.int64(148)]
74,292.32,293.56,1.240000000000009,"Yeah, it's...",1,2,[np.int64(149)]
75,295.26,299.56,4.300000000000011,"Yeah, there's a... I mean, good to know that, like, they have things to do.",2,15,"[np.int64(151), np.int64(152)]"
76,300.44,301.38,0.9399999999999977,Like... You should entertain.,2,4,"[np.int64(154), np.int64(155)]"
77,301.66,303.22,1.5600000000000023,"Like, it is their job as well.",1,7,[np.int64(156)]
78,303.72,304.92,1.1999999999999886,They get to keep playing.,1,5,[np.int64(158)]
79,306.08000000000004,307.34,1.259999999999934,Any other sports?,1,3,[np.int64(159)]
80,307.94,308.58,0.6399999999999864,Or just soccer?,1,3,[np.int64(160)]
81,316.62,318.28,1.6599999999999682,"Okay, can you jump high?",1,5,[np.int64(161)]
82,319.1,319.92,0.8199999999999932,"Really, yes.",1,2,[np.int64(162)]
83,324.66,327.8,3.1399999999999864,What do you know what your vertical jump is?,1,9,[np.int64(165)]
84,328.14,333.56,5.420000000000016,"No, I've been playing for years ago, but it wasn't a great step. I think it's pretty good now.",2,19,"[np.int64(166), np.int64(167)]"
85,333.86,336.6,2.740000000000009,"And they're like long hours, so... Yeah, because... Jump high.",3,10,"[np.int64(168), np.int64(169), np.int64(170)]"
86,337.18,338.1,0.9200000000000159,"Oh, okay.",1,2,[np.int64(171)]
87,339.38,340.94,1.5600000000000023,"It's growing, because it makes a difference.",1,7,[np.int64(172)]
88,341.18,344.22,3.0400000000000205,I'm just going to step in and the ball comes with a right here.,1,14,[np.int64(173)]
89,344.44,345.1,0.660000000000025,"Yeah, yeah.",1,2,[np.int64(174)]
90,345.32,347.92,2.6000000000000227,"I mean, that's a good... It's a good... I don't know.",3,11,"[np.int64(175), np.int64(176), np.int64(177)]"
91,348.48,351.48,3.0,"I mean, I guess it's a skill, like jumping.",1,9,[np.int64(178)]
92,351.74,354.24,2.5,"It's good to jump in, but it's... Yeah. Yeah.",3,9,"[np.int64(179), np.int64(180), np.int64(181)]"
93,355.38,356.22,0.8400000000000318,Maybe you should play volleyball.,1,5,[np.int64(182)]
94,357.52,358.92,1.400000000000034,Focus looks painful.,1,3,[np.int64(183)]
95,359.52,360.32,0.8000000000000114,"Yeah, yeah.",1,2,[np.int64(184)]
