turn_id,start,end,duration,text,n_segments,n_words,segment_ids
36,170.66,171.22,0.5600000000000023,"Yeah, really?",1,2,[np.int64(56)]
37,172.24,176.26,4.019999999999982,"Um, but I watched American Psycho the other day.",1,9,[np.int64(57)]
38,176.58,177.76,1.1799999999999784,Have you watched that one?,1,5,[np.int64(58)]
39,178.22,181.96,3.740000000000009,I would like to believe that you have not sat down on what stuff you're putting.,1,16,[np.int64(59)]
40,183.68,184.78,1.0999999999999943,I'm like TikTok.,1,3,[np.int64(60)]
41,186.04,189.14,3.0999999999999943,I know a lot of the G enjoy the movie.,1,10,[np.int64(62)]
42,189.9,190.9,1.0,"Um, I did.",1,3,[np.int64(63)]
43,191.16,195.56,4.400000000000006,"I actually, I really like the way it's like filmed.",1,10,[np.int64(64)]
44,195.88,202.16,6.280000000000001,"It's sort of just a bit weird vibes all around unsettling, I think the word is.",1,16,[np.int64(65)]
45,204.24,208.78,4.539999999999992,"But it's just a bit of a meme. Yeah, it's just an action.",2,13,"[np.int64(66), np.int64(67)]"
46,209.76,214.38,4.6200000000000045,"Yeah, it's just like, oh my god, it's just like all you do to accept that.",1,16,[np.int64(68)]
47,214.8,218.52,3.719999999999999,"Yeah, yeah, yeah, it's just like satire. But there's a part two apparently.",2,13,"[np.int64(69), np.int64(70)]"
48,218.96,220.1,1.1399999999999864,I didn't know that.,1,4,[np.int64(71)]
49,220.74,222.1,1.3599999999999852,"Actually, yeah, I didn't know that.",1,6,[np.int64(72)]
50,222.86,224.44,1.579999999999984,"No, no.",1,2,[np.int64(73)]
51,224.7,226.72,2.0200000000000102,Apparently it's not like Patrick Bacon though.,1,7,[np.int64(74)]
52,227.08,228.6,1.5199999999999818,It's like a girl.,1,4,[np.int64(75)]
53,228.82,229.62,0.8000000000000114,"Yeah, exactly.",1,2,[np.int64(76)]
54,230.22,232.0,1.7800000000000011,"Yeah, something like that.",1,4,[np.int64(77)]
55,232.8,240.38,7.579999999999984,So do you have like a favorite movie or a show? I saw a favorite movie.,2,16,"[np.int64(78), np.int64(79)]"
56,240.9,243.52,2.6200000000000045,"One of my favorite movies, you know how to train you, right?",1,12,[np.int64(80)]
57,243.98,245.74,1.7600000000000193,"Yeah, yeah. The second one.",2,5,"[np.int64(81), np.int64(82)]"
58,246.58,254.48,7.899999999999977,"Whenever the conversation comes up, I spend like 30 minutes like onions, my points, why is it greatest? I'm ready to film. Okay, yeah, yeah.",4,25,"[np.int64(83), np.int64(84), np.int64(85), np.int64(86)]"
59,255.18,258.76,3.579999999999984,"It's just, I really respect the best in other segments of the dark.",1,13,[np.int64(87)]
60,260.42,261.38,0.9599999999999795,Give me three reasons.,1,4,[np.int64(91)]
61,261.6,268.4,6.7999999999999545,"Okay, because it rarely does a second movie ever live up to the first one. Okay, good point.",2,18,"[np.int64(92), np.int64(93)]"
62,268.62,270.9,2.2799999999999727,"This one below is the outer port, it makes it so bigger.",1,12,[np.int64(94)]
63,271.46000000000004,272.24,0.7799999999999727,Expandes the universe.,1,3,[np.int64(95)]
64,272.72,278.9,6.17999999999995,"Yeah, yeah. Yeah, it gives us like good story, good action, and a built-up world of third movie.",2,19,"[np.int64(96), np.int64(97)]"
65,279.58,280.44,0.8600000000000136,"Okay, okay.",1,2,[np.int64(98)]
66,283.54,287.28,3.7399999999999523,The only thing that I've noticed now maybe is interdispyterverse.,1,10,[np.int64(99)]
67,287.78000000000003,292.18,4.399999999999977,"I don't know that one. No, it's interdispyterverse. No, what is it? It's like an interdispyterverse.",4,16,"[np.int64(100), np.int64(101), np.int64(102), np.int64(103)]"
68,292.62,294.04,1.420000000000016,It's one of the miles more on this.,1,8,[np.int64(104)]
69,294.44,295.3,0.8600000000000136,"No, I don't know.",1,4,[np.int64(105)]
70,295.78,296.74,0.9600000000000364,"No, no.",1,2,[np.int64(106)]
71,297.12,299.78,2.659999999999968,I don't know much comics.,1,5,[np.int64(107)]
72,300.78,303.52,2.740000000000009,"You gotta watch it interdispyterverse. Okay, okay.",2,7,"[np.int64(108), np.int64(109)]"
73,303.76,307.52,3.759999999999991,Is that the one where all the spider-man memes are coming from with three of them pointing at each other?,1,21,[np.int64(110)]
74,307.78,308.84,1.0600000000000023,"Yeah, yeah, yeah. Okay.",2,4,"[np.int64(111), np.int64(112)]"
75,309.88,315.32,5.439999999999998,"The second one of the coming up this year, is it the worst of the rest of the rest? Okay, okay. That wasn't my thing to do right?",3,28,"[np.int64(113), np.int64(114), np.int64(115)]"
76,315.88,321.58,5.699999999999989,"Okay, okay, okay. I really will because then when people talk about it because apparently they're talking about it now. Exactly.",3,21,"[np.int64(116), np.int64(117), np.int64(118)]"
77,321.94,323.76,1.8199999999999932,"Okay, all right. Thank you so much.",2,7,"[np.int64(119), np.int64(120)]"
78,324.88,325.86,0.9800000000000182,You have a second minute?,1,5,[np.int64(121)]
79,330.9200000000001,331.86,0.9399999999999409,I don't know.,1,3,[np.int64(123)]
80,332.32,333.04,0.7200000000000273,Not like a...,1,3,[np.int64(124)]
81,333.66,334.98,1.3199999999999932,It's simply a good idea to watch.,1,7,[np.int64(125)]
82,335.98,348.34,12.359999999999957,"It's always such a hard question. I know I asked it to you, but I also. But I remember watching Gone Girl and thinking, look, I know it's like a meme on TikTok, but Gone Girl. It's like the thing where the girl sets up.",4,45,"[np.int64(126), np.int64(127), np.int64(128), np.int64(129)]"
83,349.7,353.04,3.340000000000032,"Oh, she makes it seem like her husband murdered her.",1,10,[np.int64(130)]
84,353.74,360.24,6.5,"And then it just doesn't work out so she comes back and says, like, oh, we're together and I'm saved again.",1,21,[np.int64(131)]
